id,pair_name,base_token_price_usd,price_change_percentage,volume_usd,reserve_in_usd,transactions
solana_9CTxEyRStwTKLfVTS6c7rfQc7PTxY42YPdQcrHTv53Ao,HOOD / SOL,0.00126971383450677,"{'m5': '0.14', 'h1': '61.86', 'h6': '1142945.05', 'h24': '1142945.05'}","{'m5': '1528066.73743115', 'h1': '12209192.5968588', 'h6': '28142226.3978283', 'h24': '28142226.3978283'}",1133443.4235,"{'m5': {'buys': 1935, 'sells': 1633, 'buyers': 1572, 'sellers': 1423}, 'm15': {'buys': 7500, 'sells': 4794, 'buyers': 5204, 'sellers': 3062}, 'm30': {'buys': 11909, 'sells': 7037, 'buyers': 7494, 'sellers': 4024}, 'h1': {'buys': 18613, 'sells': 10847, 'buyers': 10702, 'sellers': 5908}, 'h24': {'buys': 45044, 'sells': 25265, 'buyers': 20936, 'sellers': 10719}}"
solana_AMFWZTqxmYVAPqqRVx9KQ2zrmnyYaLmyp14QSZA6Jc6x,LUX / SOL,0.0126622993712622,"{'m5': '-18.39', 'h1': '44.24', 'h6': '8055.34', 'h24': '8055.34'}","{'m5': '440449.759738952', 'h1': '5792370.76173455', 'h6': '93352287.9698295', 'h24': '93352287.9698295'}",764469.4111,"{'m5': {'buys': 479, 'sells': 304, 'buyers': 344, 'sellers': 268}, 'm15': {'buys': 1915, 'sells': 1643, 'buyers': 1282, 'sellers': 1200}, 'm30': {'buys': 4079, 'sells': 3593, 'buyers': 2492, 'sellers': 2109}, 'h1': {'buys': 6592, 'sells': 5818, 'buyers': 3608, 'sellers': 3295}, 'h24': {'buys': 90623, 'sells': 79532, 'buyers': 31302, 'sellers': 25576}}"
solana_DWA9PJMQv2QCzoZMHAgYq9RexTYFcxSNgrcv91RHTssG,PAWS / SOL,0.000980492469655725,"{'m5': '0', 'h1': '0', 'h6': '-0.58', 'h24': '-1.3'}","{'m5': '0.0', 'h1': '0.0', 'h6': '48.064622892', 'h24': '1483.9028485236'}",27553992.2553,"{'m5': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'm15': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'm30': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'h1': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'h24': {'buys': 82, 'sells': 20, 'buyers': 31, 'sellers': 14}}"
solana_AtNgQYamVYyxaecQ2UJuLWR44Wng73nSC9LZcd3HejBG,TPU / SOL,0.00377323302145074,"{'m5': '-14.3', 'h1': '-13.86', 'h6': '2781.21', 'h24': '3352.67'}","{'m5': '223797.332783873', 'h1': '7318191.79454456', 'h6': '22696055.6775501', 'h24': '23839123.9375044'}",330573.71,"{'m5': {'buys': 292, 'sells': 246, 'buyers': 249, 'sellers': 213}, 'm15': {'buys': 1874, 'sells': 1626, 'buyers': 1209, 'sellers': 1210}, 'm30': {'buys': 5021, 'sells': 4098, 'buyers': 2700, 'sellers': 2648}, 'h1': {'buys': 10007, 'sells': 8176, 'buyers': 4936, 'sellers': 4248}, 'h24': {'buys': 41855, 'sells': 35290, 'buyers': 16026, 'sellers': 13041}}"
solana_5z6JsFXtKwf7HuAKgmgvjRN9ippkWt2nEA8XYGuu9pph,NCAT / SOL,0.000228631163162538,"{'m5': '0', 'h1': '0', 'h6': '-2.66', 'h24': '-3.32'}","{'m5': '0.0', 'h1': '0.0', 'h6': '277.854571022', 'h24': '1422.0028167281'}",134525.4977,"{'m5': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'm15': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'm30': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'h1': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'h24': {'buys': 5, 'sells': 29, 'buyers': 5, 'sellers': 27}}"
solana_58fzJMbX5PatnfJPqWWsqkVFPRKptkbb5r2vCw4Qq3z9,VINE / SOL,0.208275174,"{'m5': '-0.2', 'h1': '-2.31', 'h6': '-11.16', 'h24': '-23.78'}","{'m5': '92927.7746316526', 'h1': '1062032.94316525', 'h6': '8882159.97529823', 'h24': '19826796.8971999'}",10066927.6578,"{'m5': {'buys': 58, 'sells': 11, 'buyers': 14, 'sellers': 10}, 'm15': {'buys': 113, 'sells': 76, 'buyers': 39, 'sellers': 60}, 'm30': {'buys': 359, 'sells': 178, 'buyers': 145, 'sellers': 131}, 'h1': {'buys': 517, 'sells': 362, 'buyers': 223, 'sellers': 224}, 'h24': {'buys': 11551, 'sells': 8285, 'buyers': 2312, 'sellers': 3732}}"
solana_9mZXXRiPwEHvd5z3226F36t4P2SAgXx2oJe3dkSRuWVS,VK / SOL,0.00000523698204660913,"{'m5': '0', 'h1': '0', 'h6': '0', 'h24': '0'}","{'m5': '0.0', 'h1': '0.0', 'h6': '0.0', 'h24': '23.9272452322'}",8994.3482,"{'m5': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'm15': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'm30': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'h1': {'buys': 0, 'sells': 0, 'buyers': 0, 'sellers': 0}, 'h24': {'buys': 0, 'sells': 1, 'buyers': 0, 'sellers': 1}}"
solana_3bC2e2RxcfvF9oP22LvbaNsVwoS2T98q6ErCRoayQYdq,jellyjelly / SOL,0.0733278046954427,"{'m5': '-0.1', 'h1': '-15.8', 'h6': '-19.94', 'h24': '-64.13'}","{'m5': '373305.545096846', 'h1': '11575621.5118429', 'h6': '59384612.28058', 'h24': '291943762.329193'}",5080089.7921,"{'m5': {'buys': 170, 'sells': 208, 'buyers': 141, 'sellers': 128}, 'm15': {'buys': 948, 'sells': 1049, 'buyers': 473, 'sellers': 457}, 'm30': {'buys': 3390, 'sells': 2579, 'buyers': 1079, 'sellers': 1051}, 'h1': {'buys': 5934, 'sells': 3977, 'buyers': 1512, 'sellers': 1530}, 'h24': {'buys': 129146, 'sells': 109212, 'buyers': 28118, 'sellers': 29278}}"
solana_J5cQ4hAvBukfaCu628QoC29uJtbR93MJ5FCpihnibv4T,NEWSY / SOL,0.00132981211094818,"{'m5': '257.92', 'h1': '1328.06', 'h6': '1328.06', 'h24': '1328.06'}","{'m5': '2762436.48325525', 'h1': '3884748.83505024', 'h6': '3884748.83505024', 'h24': '3884748.83505024'}",163179.0055,"{'m5': {'buys': 3058, 'sells': 2282, 'buyers': 2236, 'sellers': 1283}, 'm15': {'buys': 5093, 'sells': 3989, 'buyers': 3404, 'sellers': 1966}, 'm30': {'buys': 5093, 'sells': 3989, 'buyers': 3404, 'sellers': 1966}, 'h1': {'buys': 5093, 'sells': 3989, 'buyers': 3404, 'sellers': 1966}, 'h24': {'buys': 5093, 'sells': 3989, 'buyers': 3404, 'sellers': 1966}}"
solana_De4fpzViHKuSrn4rxuALW6vo11WesonodfrHBYYP3geF,AESOP / SOL,0.00433904438449829,"{'m5': '5.31', 'h1': '23.4', 'h6': '35.96', 'h24': '9522.09'}","{'m5': '24116.4420272884', 'h1': '501504.723290219', 'h6': '3309120.31562124', 'h24': '20979397.4493428'}",375944.0216,"{'m5': {'buys': 32, 'sells': 33, 'buyers': 22, 'sellers': 31}, 'm15': {'buys': 140, 'sells': 112, 'buyers': 92, 'sellers': 101}, 'm30': {'buys': 277, 'sells': 244, 'buyers': 174, 'sellers': 196}, 'h1': {'buys': 611, 'sells': 626, 'buyers': 391, 'sellers': 433}, 'h24': {'buys': 39351, 'sells': 37365, 'buyers': 14255, 'sellers': 13345}}"
